State,County,FIPS,MapDate,DSCI
GA,Tift County,13277,20081230,0
GA,Tift County,13277,20090106,0
GA,Tift County,13277,20090113,0
GA,Tift County,13277,20090120,0
GA,Tift County,13277,20090127,0
GA,Tift County,13277,20090203,0
GA,Tift County,13277,20090210,100
GA,Tift County,13277,20090217,100
GA,Tift County,13277,20090224,178
GA,Tift County,13277,20090303,178
GA,Tift County,13277,20090310,178
GA,Tift County,13277,20090317,178
GA,Tift County,13277,20090324,178
GA,Tift County,13277,20090331,0
GA,Tift County,13277,20090407,0
GA,Tift County,13277,20090414,0
GA,Tift County,13277,20090421,0
GA,Tift County,13277,20090428,0
GA,Tift County,13277,20090505,0
GA,Tift County,13277,20090512,0
GA,Tift County,13277,20090519,0
GA,Tift County,13277,20090526,0
GA,Tift County,13277,20090602,0
GA,Tift County,13277,20090609,0
GA,Tift County,13277,20090616,0
GA,Tift County,13277,20090623,0
GA,Tift County,13277,20090630,0
GA,Tift County,13277,20090707,0
GA,Tift County,13277,20090714,0
GA,Tift County,13277,20090721,0
GA,Tift County,13277,20090728,0
GA,Tift County,13277,20090804,0
GA,Tift County,13277,20090811,0
GA,Tift County,13277,20090818,0
GA,Tift County,13277,20090825,0
GA,Tift County,13277,20090901,0
GA,Tift County,13277,20090908,0
GA,Tift County,13277,20090915,0
GA,Tift County,13277,20090922,0
GA,Tift County,13277,20090929,0
GA,Tift County,13277,20091006,0
GA,Tift County,13277,20091013,0
GA,Tift County,13277,20091020,0
GA,Tift County,13277,20091027,0
GA,Tift County,13277,20091103,0
GA,Tift County,13277,20091110,0
GA,Tift County,13277,20091117,0
GA,Tift County,13277,20091124,0
GA,Tift County,13277,20091201,0
GA,Tift County,13277,20091208,0
GA,Tift County,13277,20091215,0
GA,Tift County,13277,20091222,0
GA,Tift County,13277,20091229,0
GA,Tift County,13277,20100105,0
GA,Tift County,13277,20100112,0
GA,Tift County,13277,20100119,0
GA,Tift County,13277,20100126,0
GA,Tift County,13277,20100202,0
GA,Tift County,13277,20100209,0
GA,Tift County,13277,20100216,0
GA,Tift County,13277,20100223,0
GA,Tift County,13277,20100302,0
GA,Tift County,13277,20100309,0
GA,Tift County,13277,20100316,0
GA,Tift County,13277,20100323,0
GA,Tift County,13277,20100330,0
GA,Tift County,13277,20100406,0
GA,Tift County,13277,20100413,0
GA,Tift County,13277,20100420,0
GA,Tift County,13277,20100427,0
GA,Tift County,13277,20100504,0
GA,Tift County,13277,20100511,0
GA,Tift County,13277,20100518,0
GA,Tift County,13277,20100525,0
GA,Tift County,13277,20100601,0
GA,Tift County,13277,20100608,0
GA,Tift County,13277,20100615,0
GA,Tift County,13277,20100622,0
GA,Tift County,13277,20100629,0
GA,Tift County,13277,20100706,0
GA,Tift County,13277,20100713,0
GA,Tift County,13277,20100720,0
GA,Tift County,13277,20100727,0
GA,Tift County,13277,20100803,0
GA,Tift County,13277,20100810,86
GA,Tift County,13277,20100817,100
GA,Tift County,13277,20100824,100
GA,Tift County,13277,20100831,100
GA,Tift County,13277,20100907,100
GA,Tift County,13277,20100914,200
GA,Tift County,13277,20100921,200
GA,Tift County,13277,20100928,200
GA,Tift County,13277,20101005,200
GA,Tift County,13277,20101012,200
GA,Tift County,13277,20101019,200
GA,Tift County,13277,20101026,200
GA,Tift County,13277,20101102,243
GA,Tift County,13277,20101109,243
GA,Tift County,13277,20101116,226
GA,Tift County,13277,20101123,300
GA,Tift County,13277,20101130,300
GA,Tift County,13277,20101207,300
GA,Tift County,13277,20101214,300
GA,Tift County,13277,20101221,300
GA,Tift County,13277,20101228,300
GA,Tift County,13277,20110104,300
GA,Tift County,13277,20110111,300
GA,Tift County,13277,20110118,300
GA,Tift County,13277,20110125,300
GA,Tift County,13277,20110201,300
GA,Tift County,13277,20110208,200
GA,Tift County,13277,20110215,200
GA,Tift County,13277,20110222,200
GA,Tift County,13277,20110301,200
GA,Tift County,13277,20110308,200
GA,Tift County,13277,20110315,200
GA,Tift County,13277,20110322,200
GA,Tift County,13277,20110329,300
GA,Tift County,13277,20110405,226
GA,Tift County,13277,20110412,218
GA,Tift County,13277,20110419,218
GA,Tift County,13277,20110426,218
GA,Tift County,13277,20110503,218
GA,Tift County,13277,20110510,300
GA,Tift County,13277,20110517,300
GA,Tift County,13277,20110524,300
GA,Tift County,13277,20110531,400
GA,Tift County,13277,20110607,400
GA,Tift County,13277,20110614,404
GA,Tift County,13277,20110621,500
GA,Tift County,13277,20110628,500
GA,Tift County,13277,20110705,500
GA,Tift County,13277,20110712,500
GA,Tift County,13277,20110719,400
GA,Tift County,13277,20110726,400
GA,Tift County,13277,20110802,400
GA,Tift County,13277,20110809,400
GA,Tift County,13277,20110816,300
GA,Tift County,13277,20110823,300
GA,Tift County,13277,20110830,400
GA,Tift County,13277,20110906,400
GA,Tift County,13277,20110913,400
GA,Tift County,13277,20110920,400
GA,Tift County,13277,20110927,400
GA,Tift County,13277,20111004,400
GA,Tift County,13277,20111011,400
GA,Tift County,13277,20111018,400
GA,Tift County,13277,20111025,400
GA,Tift County,13277,20111101,400
GA,Tift County,13277,20111108,400
GA,Tift County,13277,20111115,400
GA,Tift County,13277,20111122,400
GA,Tift County,13277,20111129,400
GA,Tift County,13277,20111206,400
GA,Tift County,13277,20111213,400
GA,Tift County,13277,20111220,400
GA,Tift County,13277,20111227,400
GA,Tift County,13277,20120103,400
GA,Tift County,13277,20120110,400
GA,Tift County,13277,20120117,400
GA,Tift County,13277,20120124,400
GA,Tift County,13277,20120131,500
GA,Tift County,13277,20120207,500
GA,Tift County,13277,20120214,500
GA,Tift County,13277,20120221,500
GA,Tift County,13277,20120228,500
GA,Tift County,13277,20120306,400
GA,Tift County,13277,20120313,400
GA,Tift County,13277,20120320,400
GA,Tift County,13277,20120327,400
GA,Tift County,13277,20120403,400
GA,Tift County,13277,20120410,445
GA,Tift County,13277,20120417,500
GA,Tift County,13277,20120424,500
GA,Tift County,13277,20120501,500
GA,Tift County,13277,20120508,500
GA,Tift County,13277,20120515,500
GA,Tift County,13277,20120522,500
GA,Tift County,13277,20120529,500
GA,Tift County,13277,20120605,500
GA,Tift County,13277,20120612,300
GA,Tift County,13277,20120619,300
GA,Tift County,13277,20120626,279
GA,Tift County,13277,20120703,279
GA,Tift County,13277,20120710,279
GA,Tift County,13277,20120717,250
GA,Tift County,13277,20120724,250
GA,Tift County,13277,20120731,250
GA,Tift County,13277,20120807,250
GA,Tift County,13277,20120814,73
GA,Tift County,13277,20120821,73
GA,Tift County,13277,20120828,0
GA,Tift County,13277,20120904,0
GA,Tift County,13277,20120911,0
GA,Tift County,13277,20120918,0
GA,Tift County,13277,20120925,0
GA,Tift County,13277,20121002,0
GA,Tift County,13277,20121009,0
GA,Tift County,13277,20121016,0
GA,Tift County,13277,20121023,0
GA,Tift County,13277,20121030,100
GA,Tift County,13277,20121106,100
GA,Tift County,13277,20121113,100
GA,Tift County,13277,20121120,160
GA,Tift County,13277,20121127,202
GA,Tift County,13277,20121204,202
GA,Tift County,13277,20121211,202
GA,Tift County,13277,20121218,202
GA,Tift County,13277,20121225,202
GA,Tift County,13277,20130101,202
GA,Tift County,13277,20130108,203
GA,Tift County,13277,20130115,201
GA,Tift County,13277,20130122,201
GA,Tift County,13277,20130129,300
GA,Tift County,13277,20130205,300
GA,Tift County,13277,20130212,203
GA,Tift County,13277,20130219,203
GA,Tift County,13277,20130226,100
GA,Tift County,13277,20130305,100
GA,Tift County,13277,20130312,100
GA,Tift County,13277,20130319,100
GA,Tift County,13277,20130326,0
GA,Tift County,13277,20130402,0
GA,Tift County,13277,20130409,0
GA,Tift County,13277,20130416,0
GA,Tift County,13277,20130423,0
GA,Tift County,13277,20130430,0
GA,Tift County,13277,20130507,0
GA,Tift County,13277,20130514,0
GA,Tift County,13277,20130521,0
GA,Tift County,13277,20130528,0
GA,Tift County,13277,20130604,0
GA,Tift County,13277,20130611,0
GA,Tift County,13277,20130618,0
GA,Tift County,13277,20130625,0
GA,Tift County,13277,20130702,0
GA,Tift County,13277,20130709,0
GA,Tift County,13277,20130716,0
GA,Tift County,13277,20130723,0
GA,Tift County,13277,20130730,0
GA,Tift County,13277,20130806,0
GA,Tift County,13277,20130813,0
GA,Tift County,13277,20130820,0
GA,Tift County,13277,20130827,0
GA,Tift County,13277,20130903,0
GA,Tift County,13277,20130910,0
GA,Tift County,13277,20130917,0
GA,Tift County,13277,20130924,0
GA,Tift County,13277,20131001,0
GA,Tift County,13277,20131008,0
GA,Tift County,13277,20131015,0
GA,Tift County,13277,20131022,4
GA,Tift County,13277,20131029,4
GA,Tift County,13277,20131105,4
GA,Tift County,13277,20131112,4
GA,Tift County,13277,20131119,19
GA,Tift County,13277,20131126,19
GA,Tift County,13277,20131203,19
GA,Tift County,13277,20131210,19
GA,Tift County,13277,20131217,19
GA,Tift County,13277,20131224,19
GA,Tift County,13277,20131231,0
GA,Tift County,13277,20140107,0
GA,Tift County,13277,20140114,0
GA,Tift County,13277,20140121,0
GA,Tift County,13277,20140128,0
GA,Tift County,13277,20140204,0
GA,Tift County,13277,20140211,0
GA,Tift County,13277,20140218,0
GA,Tift County,13277,20140225,0
GA,Tift County,13277,20140304,0
GA,Tift County,13277,20140311,58
GA,Tift County,13277,20140318,0
GA,Tift County,13277,20140325,0
GA,Tift County,13277,20140401,0
GA,Tift County,13277,20140408,0
GA,Tift County,13277,20140415,0
GA,Tift County,13277,20140422,0
GA,Tift County,13277,20140429,0
GA,Tift County,13277,20140506,0
GA,Tift County,13277,20140513,0
GA,Tift County,13277,20140520,0
GA,Tift County,13277,20140527,0
GA,Tift County,13277,20140603,0
GA,Tift County,13277,20140610,0
GA,Tift County,13277,20140617,0
GA,Tift County,13277,20140624,0
GA,Tift County,13277,20140701,0
GA,Tift County,13277,20140708,0
GA,Tift County,13277,20140715,86
GA,Tift County,13277,20140722,86
GA,Tift County,13277,20140729,100
GA,Tift County,13277,20140805,100
GA,Tift County,13277,20140812,112
GA,Tift County,13277,20140819,201
GA,Tift County,13277,20140826,229
GA,Tift County,13277,20140902,229
GA,Tift County,13277,20140909,228
GA,Tift County,13277,20140916,228
GA,Tift County,13277,20140923,214
GA,Tift County,13277,20140930,199
GA,Tift County,13277,20141007,199
GA,Tift County,13277,20141014,199
GA,Tift County,13277,20141021,199
GA,Tift County,13277,20141028,199
GA,Tift County,13277,20141104,199
GA,Tift County,13277,20141111,199
GA,Tift County,13277,20141118,112
GA,Tift County,13277,20141125,15
GA,Tift County,13277,20141202,15
GA,Tift County,13277,20141209,15
GA,Tift County,13277,20141216,0
GA,Tift County,13277,20141223,0
GA,Tift County,13277,20141230,0
GA,Tift County,13277,20150106,0
GA,Tift County,13277,20150113,0
GA,Tift County,13277,20150120,0
GA,Tift County,13277,20150127,0
GA,Tift County,13277,20150203,0
GA,Tift County,13277,20150210,0
GA,Tift County,13277,20150217,0
GA,Tift County,13277,20150224,0
GA,Tift County,13277,20150303,0
GA,Tift County,13277,20150310,0
GA,Tift County,13277,20150317,0
GA,Tift County,13277,20150324,0
GA,Tift County,13277,20150331,0
GA,Tift County,13277,20150407,100
GA,Tift County,13277,20150414,75
GA,Tift County,13277,20150421,11
GA,Tift County,13277,20150428,11
GA,Tift County,13277,20150505,11
GA,Tift County,13277,20150512,11
GA,Tift County,13277,20150519,32
GA,Tift County,13277,20150526,100
GA,Tift County,13277,20150602,161
GA,Tift County,13277,20150609,100
GA,Tift County,13277,20150616,100
GA,Tift County,13277,20150623,100
GA,Tift County,13277,20150630,100
GA,Tift County,13277,20150707,100
GA,Tift County,13277,20150714,100
GA,Tift County,13277,20150721,100
GA,Tift County,13277,20150728,100
GA,Tift County,13277,20150804,100
GA,Tift County,13277,20150811,20
GA,Tift County,13277,20150818,20
GA,Tift County,13277,20150825,19
GA,Tift County,13277,20150901,19
GA,Tift County,13277,20150908,19
GA,Tift County,13277,20150915,17
GA,Tift County,13277,20150922,17
GA,Tift County,13277,20150929,17
GA,Tift County,13277,20151006,4
GA,Tift County,13277,20151013,10
GA,Tift County,13277,20151020,36
GA,Tift County,13277,20151027,36
GA,Tift County,13277,20151103,0
GA,Tift County,13277,20151110,0
GA,Tift County,13277,20151117,0
GA,Tift County,13277,20151124,0
GA,Tift County,13277,20151201,0
GA,Tift County,13277,20151208,0
GA,Tift County,13277,20151215,0
GA,Tift County,13277,20151222,0
GA,Tift County,13277,20151229,0
GA,Tift County,13277,20160105,0
GA,Tift County,13277,20160112,0
GA,Tift County,13277,20160119,0
GA,Tift County,13277,20160126,0
GA,Tift County,13277,20160202,0
GA,Tift County,13277,20160209,0
GA,Tift County,13277,20160216,0
GA,Tift County,13277,20160223,0
GA,Tift County,13277,20160301,0
GA,Tift County,13277,20160308,0
GA,Tift County,13277,20160315,0
GA,Tift County,13277,20160322,0
GA,Tift County,13277,20160329,0
GA,Tift County,13277,20160405,0
GA,Tift County,13277,20160412,0
GA,Tift County,13277,20160419,0
GA,Tift County,13277,20160426,0
GA,Tift County,13277,20160503,0
GA,Tift County,13277,20160510,0
GA,Tift County,13277,20160517,0
GA,Tift County,13277,20160524,0
GA,Tift County,13277,20160531,0
GA,Tift County,13277,20160607,0
GA,Tift County,13277,20160614,0
GA,Tift County,13277,20160621,0
GA,Tift County,13277,20160628,0
GA,Tift County,13277,20160705,0
GA,Tift County,13277,20160712,0
GA,Tift County,13277,20160719,100
GA,Tift County,13277,20160726,100
GA,Tift County,13277,20160802,103
GA,Tift County,13277,20160809,103
GA,Tift County,13277,20160816,103
GA,Tift County,13277,20160823,135
GA,Tift County,13277,20160830,135
GA,Tift County,13277,20160906,36
GA,Tift County,13277,20160913,0
GA,Tift County,13277,20160920,0
GA,Tift County,13277,20160927,0
GA,Tift County,13277,20161004,0
GA,Tift County,13277,20161011,0
GA,Tift County,13277,20161018,100
GA,Tift County,13277,20161025,100
GA,Tift County,13277,20161101,100
GA,Tift County,13277,20161108,184
GA,Tift County,13277,20161115,200
GA,Tift County,13277,20161122,300
GA,Tift County,13277,20161129,400
GA,Tift County,13277,20161206,300
GA,Tift County,13277,20161213,201
GA,Tift County,13277,20161220,200
GA,Tift County,13277,20161227,200
GA,Tift County,13277,20170103,200
GA,Tift County,13277,20170110,100
GA,Tift County,13277,20170117,100
GA,Tift County,13277,20170124,0
GA,Tift County,13277,20170131,0
GA,Tift County,13277,20170207,0
GA,Tift County,13277,20170214,0
GA,Tift County,13277,20170221,0
GA,Tift County,13277,20170228,0
GA,Tift County,13277,20170307,0
GA,Tift County,13277,20170314,0
GA,Tift County,13277,20170321,60
GA,Tift County,13277,20170328,100
GA,Tift County,13277,20170404,100
GA,Tift County,13277,20170411,100
GA,Tift County,13277,20170418,171
GA,Tift County,13277,20170425,184
GA,Tift County,13277,20170502,281
GA,Tift County,13277,20170509,281
GA,Tift County,13277,20170516,281
GA,Tift County,13277,20170523,281
GA,Tift County,13277,20170530,199
GA,Tift County,13277,20170606,121
GA,Tift County,13277,20170613,119
GA,Tift County,13277,20170620,82
GA,Tift County,13277,20170627,0
GA,Tift County,13277,20170704,0
GA,Tift County,13277,20170711,0
GA,Tift County,13277,20170718,0
GA,Tift County,13277,20170725,0
GA,Tift County,13277,20170801,0
GA,Tift County,13277,20170808,0
GA,Tift County,13277,20170815,0
GA,Tift County,13277,20170822,0
GA,Tift County,13277,20170829,0
GA,Tift County,13277,20170905,0
GA,Tift County,13277,20170912,0
GA,Tift County,13277,20170919,0
GA,Tift County,13277,20170926,0
GA,Tift County,13277,20171003,0
GA,Tift County,13277,20171010,0
GA,Tift County,13277,20171017,45
GA,Tift County,13277,20171024,0
GA,Tift County,13277,20171031,0
GA,Tift County,13277,20171107,0
GA,Tift County,13277,20171114,100
GA,Tift County,13277,20171121,100
GA,Tift County,13277,20171128,100
GA,Tift County,13277,20171205,200
GA,Tift County,13277,20171212,200
GA,Tift County,13277,20171219,200
GA,Tift County,13277,20171226,200
GA,Tift County,13277,20180102,200
GA,Tift County,13277,20180109,200
GA,Tift County,13277,20180116,200
GA,Tift County,13277,20180123,300
GA,Tift County,13277,20180130,300
GA,Tift County,13277,20180206,200
GA,Tift County,13277,20180213,135
GA,Tift County,13277,20180220,135
GA,Tift County,13277,20180227,135
GA,Tift County,13277,20180306,200
GA,Tift County,13277,20180313,200
GA,Tift County,13277,20180320,200
GA,Tift County,13277,20180327,200
GA,Tift County,13277,20180403,200
GA,Tift County,13277,20180410,200
GA,Tift County,13277,20180417,200
GA,Tift County,13277,20180424,100
GA,Tift County,13277,20180501,100
GA,Tift County,13277,20180508,100
GA,Tift County,13277,20180515,100
GA,Tift County,13277,20180522,62
GA,Tift County,13277,20180529,0
GA,Tift County,13277,20180605,0
GA,Tift County,13277,20180612,0
GA,Tift County,13277,20180619,0
GA,Tift County,13277,20180626,0
GA,Tift County,13277,20180703,0
GA,Tift County,13277,20180710,0
GA,Tift County,13277,20180717,0
GA,Tift County,13277,20180724,0
GA,Tift County,13277,20180731,0
GA,Tift County,13277,20180807,0
GA,Tift County,13277,20180814,0
GA,Tift County,13277,20180821,0
GA,Tift County,13277,20180828,0
GA,Tift County,13277,20180904,0
GA,Tift County,13277,20180911,0
GA,Tift County,13277,20180918,0
GA,Tift County,13277,20180925,0
GA,Tift County,13277,20181002,0
GA,Tift County,13277,20181009,84
GA,Tift County,13277,20181016,0
GA,Tift County,13277,20181023,0
GA,Tift County,13277,20181030,0
GA,Tift County,13277,20181106,0
GA,Tift County,13277,20181113,0
GA,Tift County,13277,20181120,0
GA,Tift County,13277,20181127,0
GA,Tift County,13277,20181204,0
GA,Tift County,13277,20181211,0
GA,Tift County,13277,20181218,0
GA,Tift County,13277,20181225,0
